capture_at_ist,delivery_id,platform,post_url,published_at_ist,age_hours,metric_source,views,impressions,reach,external_meaningful_responses,distinct_external_participants,likes,saves,shares,profile_visits,link_clicks,link_click_method,attributed_first_opens,reader_activations,writer_activations,attribution_coverage,unavailable_reason,notes

"2026-09-06T05:17:18.545Z","2609_d06_x_card_en_sprint2_am_start_with_one_paragraph","x","https://x.com/WritOn_Social/status/2096467751598690695","2026-09-06T05:17:18.545Z","0","initial_publish","0","0","0","0","0","0","0","0","0","0","not_tracked","0","0","0","100%","","Initial publish baseline"
"2026-09-06T07:23:45.063Z","2609_d06_ig_story_en_sprint2_midday_start_with_one_paragraph","ig","https://www.instagram.com/writon_socialapp/","2026-09-06T07:23:45.063Z","0","initial_publish","0","0","0","0","0","0","0","0","0","0","not_tracked","0","0","0","100%","","Initial publish baseline"
"2026-09-06T15:20:37.186Z","2609_d06_ig_story_en_sprint2_evening_start_with_one_paragraph","ig","https://www.instagram.com/writon_socialapp/","2026-09-06T15:20:37.186Z","0","initial_publish","0","0","0","0","0","0","0","0","0","0","not_tracked","0","0","0","100%","","Initial publish baseline"
